word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
my,__UNDEF__,__UNDEF__,+,129,173.553652
towards,IN,__UNDEF__,+,129,173.553652
was,__UNDEF__,__UNDEF__,+,129,173.553652
stone,NN,__UNDEF__,+,129,173.553652
said,__UNDEF__,__UNDEF__,+,128,172.208275
need,VBP,__UNDEF__,+,128,172.208275
Is,VBZ,__UNDEF__,+,128,172.208275
on,__UNDEF__,__UNDEF__,+,128,172.208275
DEAREST_KITTY,NP,__UNDEF__,+,128,172.208275
glad,JJ,__UNDEF__,+,128,172.208275
wish,VBP,__UNDEF__,+,128,172.208275
certainly,RB,__UNDEF__,+,128,172.208275
used,VBN,__UNDEF__,+,128,172.208275
four,Z,__UNDEF__,+,128,172.208275
he,__UNDEF__,__UNDEF__,+,128,172.208275
up,RB,__UNDEF__,+,127,170.862898
probably,RB,__UNDEF__,+,127,170.862898
but,__UNDEF__,__UNDEF__,+,127,170.862898
Mum,NP,__UNDEF__,+,127,170.862898
called,VBN,__UNDEF__,+,127,170.862898
try,VB,__UNDEF__,+,127,170.862898
Karr,NP,__UNDEF__,+,127,170.862898
perhaps,RB,__UNDEF__,+,126,169.517521
friend,NN,__UNDEF__,+,126,169.517521
second,JJ,__UNDEF__,+,126,169.517521
eat,VB,__UNDEF__,+,126,169.517521
country,NN,__UNDEF__,+,126,169.517521
Let,VB,__UNDEF__,+,126,169.517521
dead,JJ,__UNDEF__,+,125,168.172144
lake,NN,__UNDEF__,+,125,168.172144
D.,NP,__UNDEF__,+,125,168.172144
for,__UNDEF__,__UNDEF__,+,125,168.172144
business,NN,__UNDEF__,+,124,166.826767
at_least,RB,__UNDEF__,+,123,165.481389
Where,WRB,__UNDEF__,+,123,165.481389
given,VBN,__UNDEF__,+,123,165.481389
no_longer,RB,__UNDEF__,+,123,165.481389
believe,VB,__UNDEF__,+,122,164.136012
is,__UNDEF__,__UNDEF__,+,122,164.136012
as,__UNDEF__,__UNDEF__,+,122,164.136012
right,JJ,__UNDEF__,+,122,164.136012
kept,VBD,__UNDEF__,+,122,164.136012
read,VB,__UNDEF__,+,121,162.790635
with,__UNDEF__,__UNDEF__,+,121,162.790635
replied,VBD,__UNDEF__,+,120,161.445258
nearly,RB,__UNDEF__,+,120,161.445258
true,JJ,__UNDEF__,+,120,161.445258
arms,NNS,__UNDEF__,+,120,161.445258
police,NN,__UNDEF__,+,120,161.445258
